Restaurant,Cuisine,Price,Rating,Address, Website-
Washington Inn,American,$$$,4.7,801 Washington St., https://www.washingtoninn.com/-
410 Bank Street,Caribbean,$$$,4.1,410 Bank St., http://www.410bankstreet.com/-
Pier House,Seafood,$$,4.1,1327 Beach Ave, http://thepierhousecapemay.com/-
Union Park Dining Room,Seafood,$$$,4,727 Beach Ave, http://www.unionparkdiningroom.com/-
Ebbitt Room,American,$$$,4.1,25 Jackson St., http://www.capemay.com/restaurants/the-ebbitt-room/-
Sapore Italiano,Italian,$$,4.5,416 S Broadway, http://www.opentable.com/sapore-italiano-west-cape-may/-
Black Duck,Seafood,$$$,4,1 Sunset Blvd, http://www.blackduckonsunset.com/-
The Lobster House,Seafood,$$,3.5,906 Schellengers Landing Rd, http://thelobsterhouse.com/-
The Mad Batter Restaurant and Bar,American,$$,4.1,19 Jackson St, http://www.madbatter.com/-
Oceanview Restaurant,Seafood,$$,3.6,235 Beach Ave, http://www.oceanviewrestaurant.com/-
Island Grill,Seafood,$$,3.9,311 Mansion St, http://www.islandgrillofcapemay.com/-
Lucky Bones Backwater Grille,American,$$,3.9,1200 NJ109, https://www.luckybones.com/-
Hemingway's Restaurant,Steak,$,3.5,1045 Beach Ave, http://www.hemingwayscapemay.com/-
Frescos Ristorante,Seafood,$$$,3.9,412 Bank St, http://www.frescoscapemay.com/-
Oyster Bay Restaurant and Bar,Seafood,$$$,3.7,615 Lafayette St, http://www.oysterbayrestaurant.com/-
The Merion Inn,American,$$$,3.6,106 Decatur St, http://www.merioninn.com/-
The Blue Pig Tavern,American,$$,4.1,200 Congress Pl, http://www.caperesorts.com/restaurants/capemay/bluepigtavern/-
Tisha's Fine Dining,American,$$$,3.8,322 Washington St, http://www.tishasfinedining.com/-
Bella Vida Garden Cafe,Vegetarian,$,3.6,406 Broadway, https://bellavidacafe.com/-
Cinco De Mayo Mexican Restaurant,Mexican,$$,4.5,1246 NJ109, http://www.yelp.com/biz/cinco-de-mayo-cape-may/-
Dry Dock Ice Cream Bar and Grill,American,$,3.7,1440 Texas Ave, http://capemaydrydock.com/-
Godmothers Restaurant,Italian,$$,3.9,413 South Broadway, http://www.godmothersrestaurant.com/#/popup/-
C-View Inn,American,$,4.3,1380 Washington St, http://www.yelp.com/biz/c-view-inn-cape-may/-
Gecko's,Mexican,$,3.8,479 W Perry St, http://www.geckoscapemay.com/-
Rusty Nail,American,$$,3.3,205 Beach Ave, http://www.caperesorts.com/restaurants/capemay/rustynail/-
Ugly Mug Bar and Restaurant,American,$$,3,426 Washington St, http://uglymug.bar/-
Harbor View Marina,Seafood,$$,3.7,954 Ocean Dr, http://www.harborviewcapemay.com/-
Cabanas Beach Bar and Grill,American,$$,3.9,429 Beach Ave, http://www.cabanasonthebeach.com/-
Carney's,American ,$$,3.2,411 Beach Ave, http://www.carneysnj.com/-
M'Ocean,Mediterranean,$$,4,429 Beach Ave, http://www.yelp.com/biz/mocean-cape-may/-
